Query,Channel,Video Title,Video Description,Video ID,Comment,Comment ID,Replies,Likes,Video Published,Comment Published
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"We'll they did stack the Supreme Court for the next 40 years. As for me, I wouldn't be proud of who they picked, but they did that.",UgzHEtVyjolxJs-QBex4AaABAg,2,35,2021-06-05T02:34:14Z,2021-06-05T03:18:55Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"What a raw deal... four years of being in Trump's shadow, agreeing to every insane thing, only to nearly get killed at the end, and vilified as a traitor because he wouldn't do something impossible. 🙄",Ugz4fZHou_ZZOeCFvp14AaABAg,0,11,2021-06-05T02:34:14Z,2021-06-05T04:32:15Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"""Trump had accomplished less than nothing in the last four years.""   Dump Trump",Ugzup-iAtqSwFicq3DJ4AaABAg,4,166,2021-06-05T02:34:14Z,2021-06-05T03:07:08Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"What they accomplished for the American people in the last 4 years, or for the 1%? 🤔",UgwiNmoHgS2nsnIWm5t4AaABAg,0,12,2021-06-05T02:34:14Z,2021-06-05T03:19:44Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"""The pay, by the way, is fifteen dollars an hour, it's minimum wage...""
_screams in Pennsylvanian_",Ugwbi2h0hzBiMEIjk1l4AaABAg,0,6,2021-06-05T02:34:14Z,2021-06-05T10:20:40Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,Jimmy's staff sarcastically cackling and cheering over being there is the best thing!😂,UgyDxa-fJXBMgUzdIdh4AaABAg,1,59,2021-06-05T02:34:14Z,2021-06-05T03:57:56Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,U could tell she didn’t get the Reece’s pieces reference. Too young. I feel old now. 😂,UgxaCNpf4-4opNeugmN4AaABAg,7,49,2021-06-05T02:34:14Z,2021-06-05T02:55:07Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,4 yrs accomplished: destroy NATO to make Russia great again.,UgxFa0WBh5X68-8n-Jt4AaABAg,16,151,2021-06-05T02:34:14Z,2021-06-05T02:45:04Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"“We have no idea what those objects are, but they are certainly not aliens.”",Ugzq1fbPCHpKZG7qBJR4AaABAg,57,80,2021-06-05T02:34:14Z,2021-06-05T02:53:09Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"when he said “pogs”, you know Jimmy thought he meant “Pawgs”. Bruh paused for a minute 😂",Ugx87AlPLqEMdAogzZN4AaABAg,1,6,2021-06-05T02:34:14Z,2021-06-05T03:49:11Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"""folding 501's at Miller's Outpost""  damn, that brought back some memories!",UgwgAk2MHkDzEGHTQ3F4AaABAg,0,3,2021-06-05T02:34:14Z,2021-06-05T05:12:37Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,They either are or aren't aliens. I'm glad that's settled.,Ugx7PdHny0bRON4ck8t4AaABAg,1,46,2021-06-05T02:34:14Z,2021-06-05T02:57:12Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,Jimmy should get Bernie Sanders to be his 1 vaccinated audience member,UgxdQuJ3IWiXwnTpCXx4AaABAg,3,62,2021-06-05T02:34:14Z,2021-06-05T02:39:09Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,I waited my whole life to hear Sora say “Pokémon erotica” and i didn’t even know it.,UgxZfAj8rEp0kFUKOQx4AaABAg,1,25,2021-06-05T02:34:14Z,2021-06-05T03:37:02Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"Favorite thing about this episode, quite honestly, is Gillian - the rocket scientist🚀",UgyJJZ7lVtUVcM7_J4J4AaABAg,0,2,2021-06-05T02:34:14Z,2021-06-05T11:19:21Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"🍿Trump's upcoming reality show:
*""From the White House to the Big House:* 
*Life for Individual 1 on Cell Block T""*",Ugx1c5cEw-juR5TfQUN4AaABAg,4,83,2021-06-05T02:34:14Z,2021-06-05T02:55:19Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"Am I the only one who heard him say ""Virus out there killing Golden Girls"" and immediately paused the video to check and make sure Betty White was okay?!?",UgzvYwFrtO0jd7G7dlZ4AaABAg,5,18,2021-06-05T02:34:14Z,2021-06-05T05:35:25Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,$Keanu is the one and it’s about to take off!,UgxSPZFDbQ0Oo_MtfG14AaABAg,0,30,2021-06-05T02:34:14Z,2021-06-05T07:00:44Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"they did things no other administration has. a pandemic, no response to the virus, over 600,000 americans dead, a ecomonic collapse in record time, an attempted coup, armed militia threatening governors, just to name a few. yeah he can be proud of locking up crying babies, and proving he has no idea what christianity is about.  Future generations will build a shrine in honor of their grandeur.",UgwcA7NJe3bBVdrakFN4AaABAg,1,28,2021-06-05T02:34:14Z,2021-06-05T05:45:38Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"Trump""my blog was one like no one's ever seen before"" hahahaha 😅🤣😂🤣",UgzHASnGv_zxv_xhPPl4AaABAg,0,5,2021-06-05T02:34:14Z,2021-06-05T05:20:26Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,When he said minimum wage was $15 I about fell out lol Minimum wage is SC is $7.25 😂😂😂,UgzuQJ1h-Cp6MNi_WQh4AaABAg,11,25,2021-06-05T02:34:14Z,2021-06-05T02:48:57Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"""buy the dip"" the senetence that bankrupt alot of people 😂😂",UgxtWYZo0Tvy0Jvz_iZ4AaABAg,0,4,2021-06-05T02:34:14Z,2021-06-05T05:08:50Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,Seems like Just Braden has a sixth sense about the stock market…,UgyFse442P93w17Gx2Z4AaABAg,0,2,2021-06-05T02:34:14Z,2021-06-05T12:19:32Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"Good for you Haley Joel, good for you man....you’ve still got the ol “solid acting chops”",UgwYOGywHofoGxMTPuV4AaABAg,1,4,2021-06-05T02:34:14Z,2021-06-05T06:43:20Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,Sora being a meme stock investor is now canon to Kingdom Hearts,Ugyncr4S-PiPoAspCnR4AaABAg,0,3,2021-06-05T02:34:14Z,2021-06-05T04:07:29Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,Hi Jimmy. Haven’t watched yet but it is as good as always!,UgzzCsrgQevDe0-xkp14AaABAg,0,8,2021-06-05T02:34:14Z,2021-06-05T02:34:59Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,briefly mentioned the Keanu Inu Coin lol...means it's getting noticed.,UgytoYPB17pwkbqqH5t4AaABAg,1,12,2021-06-05T02:34:14Z,2021-06-05T07:05:53Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,I also invested in Keanu Inu. Best meme coins. To the moon.,UgzQkMtimnBs0Riw9lZ4AaABAg,0,5,2021-06-05T02:34:14Z,2021-06-05T10:36:53Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,Someone is gonna make a mint on the Bradencoin NFT.,Ugz6WO2MbTz7fE2rg1x4AaABAg,0,14,2021-06-05T02:34:14Z,2021-06-05T03:16:48Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,I love the Hailey Joel  appearance.,Ugz95pQ3t0IqqoM7v8d4AaABAg,1,13,2021-06-05T02:34:14Z,2021-06-05T03:10:09Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"""That pesky virus going around killing Golden Girls...""


Wow. That was... a bit rough.",UgypaZQfP0B5TEkMyX14AaABAg,5,36,2021-06-05T02:34:14Z,2021-06-05T03:03:51Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"Jimmy missed a good opportunity here to point out the naked short selling of the ""memestocks"". That is not a meme. It's illegal, and it's what the hedgefunds are doing right now like a plague on the economy.",UgygxEQPhrWOwfbzAbp4AaABAg,0,2,2021-06-05T02:34:14Z,2021-06-05T06:01:10Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,I was hoping to see Rudy selling my  Pillow stuff,UgyNgZNrzWmjIzZdu_h4AaABAg,0,4,2021-06-05T02:34:14Z,2021-06-05T03:26:11Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,Why do we insist on changing everything? Unidentified Aerial Phenomena? What was wrong with UFO that we have been using since 1947? And why is it in an era of megapixel cameras we can’t seem to get a clear picture of these things? Probably our own stuff coming out of the Skunk Works.,Ugw5OL0DlW0xPOa0zUR4AaABAg,0,3,2021-06-05T02:34:14Z,2021-06-05T03:05:09Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,I am surprised Mike Pence's nose doesn't bleed every 28 days.,UgxlR3hHHvAu4k30uPl4AaABAg,1,24,2021-06-05T02:34:14Z,2021-06-05T03:46:02Z
Trump,Jimmy Kimmel Live,"Trump &amp; Pence Rift Lives On, Facebook Cancels Donny &amp; No Evidence of Aliens!","We welcome Jillian from Space X as our vaccinated audience member of the week, the New York Times revealed that intelligence officials have found no ...",yxn9sAU2DB4,"That KEANU meme coin he’s talking about is actually real and probably gonna moon. 🤷🏻‍♂️
What a world. Nothing surprises me anymore.",Ugw8t4jqhLI0i6eFa6B4AaABAg,2,7,2021-06-05T02:34:14Z,2021-06-05T07:18:56Z
